shap_hours_since_last_login,shap_km_from_last_login,shap_velocity_kmh,shap_velocity_kmh_log,shap_impossible_velocity_flag,shap_is_new_device,shap_failed_attempts_1h,shap_failed_attempts_6h,shap_failed_attempts_24h,shap_failed_attempts_ratio,shap_session_duration_sec,shap_actions_per_minute,shap_time_to_first_action_sec,shap_account_age_days,shap_hour_deviation_from_mean,shap_hour_of_day,shap_day_of_week,shap_is_weekend,shap_is_night,fraud_probability,is_fraud,predicted_fraud,top_feature
-0.5191021,4.1623373,1.7642252,-0.20416026,0.0033010296,1.9891837,0.041010715,0.03327821,0.12510784,-0.11394359,0.30539912,-0.6889979,-0.35627982,-0.45377204,-0.43413156,-0.09866043,-0.00455819,0.14028725,0.03875052,0.9964742,1,1,km_from_last_login
-0.15013142,-0.41951004,-0.4909576,-0.0005466165,0.0015197732,3.4305854,-0.3174194,-0.042271644,-0.2576943,0.82807904,0.06415748,6.15083,1.1280806,-0.21110097,0.8541239,-0.11911708,-0.10463,0.07555552,-0.3413694,0.9999542,1,1,actions_per_minute
-0.0036303662,-0.2870582,-0.8632862,0.005174806,0.0025482404,5.229265,0.041576684,0.010319884,-0.37028387,-0.07708462,-0.06759678,-0.34853262,1.0642709,-0.10932486,1.697129,-0.051865794,-0.03747195,0.06499002,0.054282323,0.9971802,1,1,is_new_device
-0.42042977,-0.39875177,-0.66636765,-0.008384075,0.0020578727,3.1265252,-0.25262156,-0.14583328,0.07831142,0.55649406,0.2781945,6.2311273,2.6008065,-0.2446295,-0.55287236,-0.08534178,0.16360098,-0.47572094,0.01311211,0.99993956,1,1,actions_per_minute
1.1904305,4.816158,0.73968387,0.32380068,0.0036456333,-1.4955373,-0.63224167,-0.41003665,-0.48033226,0.68671286,0.042928327,-0.5720316,-0.26494604,-0.35637325,-0.6801179,0.1245463,-0.038072538,0.1269818,0.01619398,0.95505077,1,1,km_from_last_login
-0.2133909,-0.46955422,-0.611572,-0.019847112,0.0024673166,4.9306374,0.03436038,-0.15656407,0.09968997,-0.09442604,-0.23893319,-1.7024375,3.29313,-0.44225702,1.4188787,0.08336468,0.22484793,-0.68582714,0.024234103,0.9954661,1,1,is_new_device
1.4498626,2.9644117,-0.56946707,-0.14859073,0.0031636332,2.6672947,0.035486694,0.047057644,0.06915662,-0.12398114,0.030589735,-0.8281446,-0.52174556,-0.032318108,-0.34789598,0.10158646,0.069062084,0.12462759,0.028165715,0.9928478,1,1,km_from_last_login
-0.24551544,-0.45268503,-0.58477265,-0.042818926,0.0021789582,3.3122833,0.02510145,-0.09742666,-0.17689301,-0.08923961,0.068626806,5.843552,2.7448611,-0.15937006,-0.26405156,0.019780936,0.13139157,0.0567749,0.014175785,0.99995553,1,1,actions_per_minute
-0.10075466,-0.3203391,-0.4468882,0.018113395,0.0015197732,3.2043672,-0.30728728,-0.0518801,-0.31707004,0.80689424,0.058046084,6.0427604,1.1039789,-0.029656567,0.7795252,-0.095289744,0.001576507,0.0509545,-0.33365795,0.9999536,1,1,actions_per_minute
-0.5830365,-0.38880426,-0.7005896,-0.00437823,0.0033731633,4.9896746,0.040644072,0.009693103,0.15213972,-0.07378527,0.059804004,-0.87802213,1.4454068,0.019622436,1.4471078,0.012276855,-0.09012306,-1.0026703,0.06704348,0.9883441,1,1,is_new_device
1.2854912,3.2686672,0.5624598,0.15439855,0.002754993,2.4337904,0.037823092,0.024450721,-0.3706069,-0.14147854,-0.53220624,-0.67289484,-0.44300565,-0.0089748,-0.19559525,0.14893728,0.27686554,0.12897234,0.033364113,0.9972899,1,1,km_from_last_login
0.70100105,4.5390286,1.7235729,0.032527857,0.0035785453,-1.5990906,0.05271759,0.14129472,0.19956058,-0.16139874,0.38075978,-0.52914053,-0.46438536,0.11505453,-0.04595013,-0.24400224,-0.07731429,-1.3701037,0.017142467,0.9654335,1,1,km_from_last_login
-0.4851535,4.7887793,2.1163125,-0.12122491,0.010806715,-1.3853939,0.04232108,0.07190916,-0.40982533,-0.21148208,-0.08439977,-0.13429108,-0.4585513,0.20702931,-0.34062418,0.2301529,-0.1600566,0.2487921,0.017735494,0.97931963,1,1,km_from_last_login
0.43973956,-0.697064,-1.2084161,-0.026126245,0.0026872316,4.628655,0.042135388,0.010657734,-0.55747503,-0.088163555,-0.36793098,-1.3670886,1.0155139,0.039297953,1.3257207,0.022161053,0.055211257,0.12251114,0.06680609,0.9668715,1,1,is_new_device
-0.98854774,-0.44527006,0.40525463,-0.194227,0.0016408528,3.3223155,-0.29361415,-0.02042841,-0.216735,0.87979966,0.054985896,6.034436,2.3928452,-0.0017590575,0.37430006,-0.121922776,0.009192223,0.035261665,-0.5208447,0.99997556,1,1,actions_per_minute
1.2625703,3.606688,1.1216509,0.09796675,0.0022836719,2.0587256,0.037929066,0.060584277,0.09549475,-0.10990997,0.23375748,-0.2912886,-1.140467,0.08633231,-0.34686178,0.09470178,0.29625878,-1.0915279,0.025349377,0.9975643,1,1,km_from_last_login
0.6884805,1.1748782,-0.11821979,0.01466763,0.0024614308,2.7793493,0.02568187,-0.19567026,0.057858966,-0.11992782,-0.11967915,4.758048,1.9547093,0.031108333,-0.17825574,0.025044166,0.2236309,-0.5438052,0.013058833,0.99996924,1,1,actions_per_minute
0.95402175,2.5987127,1.2278078,0.114532046,0.0017609405,2.2878668,0.039802156,0.03851739,-0.2780276,-0.12570557,-0.00030288738,-0.5486667,-1.4269489,-0.08088119,-0.14040987,0.26049253,-0.045653183,0.11184988,0.034833387,0.9928852,1,1,km_from_last_login
1.1503483,3.6910496,0.95354635,0.06410418,0.0022370415,1.9324398,0.03905344,0.052556712,0.10508972,-0.11445439,0.0057342416,-0.46221203,-1.1585974,-0.042535853,-0.35308164,0.1306397,0.25157386,0.10567378,0.03153526,0.99816626,1,1,km_from_last_login
-0.8922022,-0.22935258,-0.4170687,0.008139022,0.0013293887,3.4558687,-0.31217295,-0.027436491,-0.29758456,0.8404241,0.08227906,5.917184,1.3285226,-0.3406214,0.7660112,-0.23248279,-0.10945448,0.055054184,-0.40538803,0.999889,1,1,actions_per_minute
-0.15865126,-0.30556053,-0.84229267,0.0042838217,0.0014111924,3.3192904,-0.3084749,-0.04686418,-0.3093916,0.5298264,0.041599154,6.223114,2.5981119,0.07996855,0.35450548,-0.09029843,0.017171085,0.04685001,-0.47664005,0.99997485,1,1,actions_per_minute
1.5081555,4.2315626,0.48478788,0.25559485,0.0020532985,-1.6655016,0.046765096,0.121521376,0.13395005,-0.21260479,-0.25031382,-0.85539126,-1.0550426,0.15906249,-0.39175773,-0.087528415,-0.05415931,0.20764698,0.017173804,0.9248963,1,1,km_from_last_login
